study_hours,previous_score,technical_skill,assignments_completed,attendance,final_score,pass
10.6,83,7,5,72,78.85,1
7.73,79,2,5,47,44.49,1
9.94,40,10,9,75,73.57,1
6.83,65,7,4,100,51.74,1
1.77,89,1,7,71,45.71,1
6.83,61,9,8,63,50.19,1
0.96,58,1,1,88,13.08,0
7.34,46,1,9,83,60.47,1
5.75,45,6,1,64,31.6,0
9.49,75,4,6,94,67.32,1
11.15,48,10,8,84,69.05,1
0.59,53,3,8,65,26.77,0
6.31,82,4,8,96,51.83,1
9.37,69,7,10,95,79.61,1
10.26,79,3,4,72,56.33,1
1.4,43,5,6,46,29.85,0
4.74,89,9,1,83,56.42,1
6.09,83,3,2,91,47.67,1
7.28,99,4,8,56,54.99,1
10.88,56,4,2,96,49.04,1
0.86,55,10,10,74,38.43,0
9.65,96,9,1,88,67.65,1
6.51,31,9,9,44,58.38,1
5.57,86,10,9,68,76.91,1
11.76,73,10,5,89,76.38,1
9.9,74,5,9,97,76.25,1
10.76,36,6,0,74,57.38,1
6.81,73,9,9,64,69.78,1
0.31,43,8,6,54,20.78,0
11.83,93,8,5,98,93.94,1
4.03,72,4,8,92,49.89,1
6.81,93,6,2,45,54.43,1
5.98,84,10,3,82,64.74,1
3.71,34,4,6,91,26.28,0
3.65,50,6,7,88,59.15,1
5.34,78,10,1,57,65.57,1
4.47,68,2,3,92,29.71,0
3.5,83,10,1,83,45.2,1
2.72,67,10,2,87,44.96,1
8.15,41,8,5,47,50.25,1
3.61,92,6,4,49,58.18,1
9.28,51,8,1,69,62.44,1
5.92,54,6,4,100,47.26,1
9.87,63,2,8,78,70.06,1
8.7,36,3,2,53,31.05,0
6.3,90,2,2,83,52.85,1
4.54,88,3,2,59,52.47,1
3.99,100,1,10,43,57.42,1
1.98,79,1,5,72,36.99,0
6.72,90,6,0,98,47.36,1
3.47,58,4,3,56,35.81,0
0.38,31,9,0,91,17.54,0
0.88,34,3,2,70,11.64,0
7.29,52,10,5,57,62.92,1
11.9,68,9,10,87,89.75,1
2.81,47,2,7,82,39.98,0
2.87,88,5,5,85,58.86,1
4.68,44,4,5,53,45.49,1
2.66,46,7,0,72,25.28,0
2.59,37,7,2,45,35.77,0
5.36,47,7,6,67,44.88,1
6.46,81,7,1,73,42.08,1
3.34,97,3,4,95,37.52,0
10.95,91,4,1,73,71.05,1
3.59,77,6,2,81,39.17,0
10.46,78,8,2,98,79.58,1
0.21,85,1,4,85,41.63,1
6.53,65,9,5,95,65.59,1
8.81,85,10,8,71,80.33,1
1.66,46,6,4,87,37.53,0
11.03,55,10,0,69,60.19,1
0.31,96,10,5,99,52.28,1
1.89,50,2,4,80,40.17,1
3.28,70,5,5,68,33.04,0
1.98,59,7,9,74,50.29,1
11.27,57,7,9,68,68.76,1
4.19,42,6,4,53,46.02,1
3.21,45,4,3,67,31.43,0
0.14,33,1,10,41,20.82,0
11.09,99,8,0,55,73.27,1
2.45,55,7,4,52,26.9,0
3.68,55,1,2,98,25.49,0
2.75,93,8,8,98,54.2,1
4.2,99,10,0,41,56.5,1
4.65,81,4,6,51,49.85,1
9.67,64,3,4,83,66.46,1
0.8,80,7,0,99,50.25,1
8.0,92,6,0,44,42.6,1
6.61,38,3,6,72,33.13,0
0.17,32,9,7,56,40.41,1
7.67,45,3,0,90,50.76,1
10.96,32,3,9,69,54.73,1
3.86,100,2,5,94,47.18,1
11.94,96,2,8,100,80.82,1
10.54,84,6,7,69,78.47,1
8.77,71,2,4,82,53.36,1
2.34,92,3,0,67,45.07,1
8.25,55,4,10,83,62.95,1
5.92,77,10,2,65,52.76,1
7.85,77,1,9,91,58.95,1
3.52,37,5,6,97,52.36,1
8.22,83,10,5,82,63.21,1
5.63,81,10,2,48,45.34,1
8.95,66,8,0,86,71.25,1
7.99,81,8,7,96,63.12,1
6.56,87,2,8,79,53.28,1
2.8,36,8,1,61,31.05,0
5.99,87,3,3,71,51.87,1
7.63,75,9,6,99,79.49,1
6.49,35,10,8,88,59.42,1
2.52,35,10,4,49,24.66,0
10.76,98,7,10,45,67.53,1
3.7,53,9,9,42,59.15,1
8.92,51,1,10,70,54.01,1
7.33,50,5,2,88,48.69,1
4.05,55,2,4,61,31.05,0
4.13,67,2,0,94,33.24,0
4.36,82,4,9,73,63.03,1
4.43,44,6,1,75,42.04,1
4.4,43,1,2,90,32.45,0
0.38,50,1,7,48,13.34,0
9.13,46,6,2,61,53.04,1
2.23,88,3,3,45,41.94,1
3.25,69,9,4,84,52.6,1
7.56,67,1,8,79,51.28,1
4.64,62,4,2,46,29.32,0
10.68,77,4,3,61,55.94,1
8.03,81,1,9,61,60.99,1
1.68,44,7,0,92,35.84,0
2.28,94,8,9,79,56.69,1
2.2,61,9,8,96,52.25,1
4.61,89,2,3,91,50.23,1
1.77,73,2,10,73,31.51,0
2.11,59,8,4,74,51.18,1
